,question,correct_anwer,generated_answer,is_match,meta
10,Kokios yra oficialios NATO kalbos?,Oficialios NATO kalbos yra anglų ir prancūzų.,Oficialios NATO kalbos yra vokiečių ir prancūzų.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 9}"
11,Kiek seniūnijų yra Vilniaus mieste?,Vilniaus mieste yra 20 seniūnijų.,Vilniaus mieste yra 22 seniūnijos.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 13}"
12,Kada Vilnius pirmą kartą paminėtas rašytiniuose šaltiniuose?,Vilnius pirmą kartą rašytiniuose šaltiniuose paminėtas 1323 metais Lietuvos Didžiojo kunigaikščio Gedimino laiške Vokietijos miestams.,Vilnius pirmą kartą rašytiniuose šaltiniuose paminėtas 1333 metais Lietuvos Didžiojo kunigaikščio Gedimino laiške Vokietijos miestams.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 14}"
13,Kokios svarbios valdžios institucijos yra įsikūrusios Vilniuje?,"Vilniuje yra įsikūrusios aukščiausios Lietuvos valdžios institucijos: Lietuvos Respublikos Prezidentūra, Lietuvos Respublikos Seimas, Lietuvos Respublikos Vyriausybė, ministerijos, Lietuvos Aukščiausiasis ir Konstitucinis Teismai.","Vilniuje yra įsikūrusios aukščiausios Lietuvos valdžios institucijos: Lietuvos Respublikos Prezidentūra, Lietuvos Respublikos Seimas, Lietuvos Respublikos Senatas, ministerijos, Lietuvos Aukščiausiasis Teismas bei užsienio ambasados.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 12}"
14,Kokiais metais Lietuva oficialiai tapo NATO nare?,Lietuva oficialiai tapo NATO nare 2004 metų kovo 29 dieną.  Šią dieną tuometinis Ministras Pirmininkas Algirdas Brazauskas Vašingtone perdavė Lietuvos prisijungimo prie Šiaurės Atlanto sutarties ratifikacinius raštus saugoti JAV Vyriausybei.  Oficiali vėliavų pakėlimo ceremonija įvyko Briuselyje 2004 metų balandžio 2 dieną.,Lietuva oficialiai tapo NATO nare 2003 metų kovo 29 dieną. Šią dieną tuometinis Ministras Pirmininkas Algirdas Brazauskas Vašingtone perdavė Lietuvos prisijungimo prie Šiaurės Atlanto sutarties ratifikacinius raštus saugoti JAV Vyriausybei. Oficiali vėliavų pakėlimo ceremonija įvyko Briuselyje 2004 metų balandžio 2 dieną.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 6}"
15,Su kokiomis šalimis ribojasi Lenkija?,"Lenkija vakaruose ribojasi su Vokietija, pietuose su Čekija ir Slovakija, rytuose su Ukraina ir Baltarusija, o šiaurėje su Lietuva ir Rusijos Kaliningrado sritimi bei Baltijos jūra.","Lenkija vakaruose ribojasi su Čekija, pietuose su Slovakija ir Vokietija, rytuose su Lietuva ir Baltarusija, o šiaurėje su Ukraina ir Rusijos Kaliningrado sritimi bei Baltijos jūra.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 16}"
16,Kada Lenkija priėmė savo pirmąją rašytinę konstituciją?,"Lenkija priėmė pirmąją rašytinę konstituciją 1791 metų gegužės 3 dieną. Tai buvo pirmoji rašytinė konstitucija Europoje, žyminti svarbų žingsnį konstitucionalizmo raidoje.","Lenkija priėmė pirmąją rašytinę konstituciją 1781 metų gegužės 3 dieną. Tai buvo pirmoji rašytinė konstitucija Europoje, žyminti svarbų žingsnį konstitucionalizmo raidoje.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 15}"
17,Kada Lenkija įstojo į Europos Sąjungą ir NATO?,"Lenkija įstojo į NATO 1999 metais, o į Europos Sąjungą – 2004 metais. Šie įvykiai žymi svarbų šalies integracijos į vakarų struktūras etapą.","Lenkija įstojo į NATO 1998 metais, o į Europos Sąjungą – 2005 metais. Šie įvykiai žymi svarbų šalies integracijos į vakarų struktūras etapą.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 18}"
18,Kokie svarbūs įvykiai vyko Lenkijoje XX amžiaus devintajame dešimtmetyje?,"XX amžiaus devintajame dešimtmetyje Lenkijoje išpopuliarėjo Solidarumo judėjimas, kuris prisidėjo prie komunistinio režimo žlugimo ir suverenios demokratinės Lenkijos respublikos atkūrimo 1989 metais.","XX amžiaus devintajame dešimtmetyje Lenkijoje išpopuliarėjo Laisvės sąjunga, kuri prieštaravo žmogaus teisių siekimui ir paskatino ekonomikos gilias reformas komunistinio režimo stiprinimui.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 17}"
19,Kokia upių santakoje įsikūręs Kaunas?,Kaunas įsikūręs Nemuno ir Neries santakoje.,Kaunas įsikūręs Neries ir Šventosios santakoje.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 22}"
20,Kada Mindaugas tapo pirmuoju Lietuvos karaliumi?,"Mindaugas tapo pirmuoju Lietuvos karaliumi 1253 metais. Jo karūnavimas laikomas itin svarbiu įvykiu Lietuvos istorijoje, žyminčiu Lietuvos, kaip karalystės, pripažinimą Europoje. Nors tiksli Mindaugo vainikavimo data nėra žinoma, manoma, kad tai buvo liepos 6 arba birželio 29 diena.","Mindaugas tapo pirmuoju Lietuvos karaliumi 1243 metais. Jo karūnavimas laikomas ne tokiu reikšmingu įvykiu, kadangi tuo metu Lietuva dar nebuvo pripažinta karalyste Europoje. Tikima, kad karūnavimas įvyko gegužės arba birželio mėnesį.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 19}"
21,Kiek gyventojų gyveno Kaune 2023 metais?,"2023 metais Kaune gyveno 319,8 tūkst. gyventojų.","2023 metais Kaune gyveno 390,8 tūkst. gyventojų.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 23}"
22,Kada Mindaugas pirmą kartą paminėtas istoriniuose šaltiniuose ir kokiomis aplinkybėmis?,"Mindaugas pirmą kartą paminėtas istoriniuose šaltiniuose 1219 metais. Jis minimas kaip vienas iš kelių Lietuvos kunigaikščių, sudariusių taikos sutartį tarp Lietuvos ir Haličo-Volynės kunigaikštystės. Manoma, kad šie kunigaikščiai galėjo būti smulkių lietuvių kunigaikštysčių konfederacijos vadovai arba vyriausiojo kunigaikščio Živinbuto pasiuntiniai.","Mindaugas pirmą kartą paminėtas istoriniuose šaltiniuose 1229 metais. Jis minimas kaip vienas iš kelių Lietuvos kunigaikščių, sudariusių sąjungą su Livonijos ordinu. Manoma, kad šie kunigaikščiai galėjo būti smulkių baltų genčių vadovai arba vyriausiojo kunigaikščio pasiuntiniai.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 21}"
23,"Kokios hipotezės susijusios su Mindaugo vaidmeniu Lietuvos valstybės kūrime, ir kokia yra šiuolaikinė istorikų nuomonė šiuo klausimu?","Anksčiau vyravo hipotezė, kurią iškėlė rusų istorikas Dmitrijus Ilovaisksis ir išplėtojo ukrainiečių istorikas Vladimiras Antonovičius, teigianti, kad Lietuvos valstybę sukūrė Mindaugas. Tačiau pastaruoju metu vis daugiau istorikų šią hipotezę atmeta, teigdami, kad Lietuvos valstybė gyvavo jau apie 1200 metus ar net anksčiau, IX–XII amžiuje. Ši nuomonė grindžiama įvairiais istoriniais šaltiniais.","Anksčiau vyravo hipotezė, kurią iškėlė lenkų istorikas Janas Dlugošas ir išplėtojo estų istorikas Johann Sebastian Bach, teigianti, kad Lietuvos valstybę sukūrė Mindaugas. Tačiau pastaruoju metu vis daugiau istorikų šią hipotezę atmeta, teigdami, kad Lietuvos valstybės pagrindai buvo padėti dar XI amžiuje. Ši nuomonė grindžiama nedideliais istoriniais šaltiniais.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 20}"
24,Kada Kaune pradėjo kursuoti troleibusai?,Kaune troleibusai pradėjo kursuoti 1965 m. gruodžio 31 d.,Kaune troleibusai pradėjo kursuoti 1975 m. sausio 1 d.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 26}"
25,Kada Kaunui buvo suteiktos Magdeburgo teisės?,Magdeburgo teisės Kaunui buvo suteiktos 1408 m. Vytauto Didžiojo.,Magdeburgo teisės Kaunui buvo suteiktos 1420 m. Vytauto Didžiojo.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 25}"
26,Kada Kauno modernizmo architektūra buvo įtraukta į UNESCO pasaulio paveldo sąrašą?,Kauno modernizmo architektūra buvo įtraukta į UNESCO pasaulio paveldo sąrašą 2023 m. rugsėjo 18 d.,Kauno modernizmo architektūra buvo įtraukta į UNESCO pasaulio paveldo sąrašą 2022 m. rugsėjo 18 d.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 27}"
27,Kokios dvi pagrindinės hipotezės apie Kauno miesto vardo kilmę?,"Viena hipotezė teigia, kad Kaunas yra asmenvardinis vietovardis, kilęs iš asmenvardžio ""Kaunas"", reiškiančio ""kuris mėgsta muštis, kautis"". Kita hipotezė teigia, kad Kauno pirminė reikšmė galėjusi būti ""gilus, žemas, slėnyje esąs"", kilusi iš indoeuropiečių šaknies *kau-, *keu- ""lenkti(s), linkti"".","Viena hipotezė teigia, kad Kaunas yra asmenvardinis vietovardis, kilęs iš asmenvardžio ""Kaunas"", reiškiančio ""kuris mėgsta miegoti"". Kita hipotezė teigia, kad Kauno pirminė reikšmė galėjusi būti ""aukštas, virš slėnio esąs"", kilusi iš indoeuropiečių šaknies *kau-, *keu- ""auga aukštyn"".",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 24}"
28,Kokios šalys ribojasi su Lietuva?,"Lietuva šiaurėje ribojasi su Latvija, rytuose ir pietuose – su Baltarusija, pietvakariuose – su Lenkija ir Rusija (Kaliningrado sritis).","Lietuva šiaurėje ribojasi su Estija, rytuose ir pietuose – su Ukraina, pietvakariuose – su Latvija ir Rusija (Kaliningrado sritis).",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 28}"
29,Kada Lietuva pirmą kartą paminėta istoriniuose šaltiniuose?,"Lietuva pirmą kartą paminėta Kvedlinburgo metraštyje 1009 metais, aprašant vyskupo Brunono Kverfurtiečio žūtį.","Lietuva pirmą kartą paminėta Kvedlinburgo metraštyje 1019 metais, aprašant vyskupo Brunono Kverfurtiečio žūtį.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 29}"
30,Kiek laiko gyvavo Abiejų Tautų Respublika?,"Abiejų Tautų Respublika, sudaryta Liublino unija 1569 m., gyvavo daugiau nei 200 metų, kol XVIII a. pabaigoje buvo padalinta tarp Rusijos, Austrijos ir Prūsijos.","Abiejų Tautų Respublika, sudaryta Liublino unija 1559 m., gyvavo mažiau nei 150 metų, kol XVII a. viduryje buvo padalinta tarp Lenkijos ir Vokietijos.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 30}"
31,Kada Lietuva įstojo į NATO?,Lietuva įstojo į NATO 2004 m. kovo 29 d.,Lietuva įstojo į NATO 2003 m. kovo 29 d.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 33}"
32,Kokie yra pagrindiniai Lietuvos upių ir ežerų vandens šaltiniai?,"Pagrindinis Lietuvos upių vandens šaltinis yra krituliai. Taip pat prie vandens šaltinių priskiriamas tirpstantis sniegas, kuris dažnai sukelia potvynius.",Pagrindinis Lietuvos upių vandens šaltinis yra požeminis vanduo. Taip pat prie vandens šaltinių priskiriami ežerų vandenys.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 32}"
33,Kada Lietuva atgavo Vilnių po Pirmojo pasaulinio karo?,"Vilnius ir dalis Vilniaus krašto buvo atgauti 1939 m. spalio 10 d. sudarius sutartį su SSRS, pagal kurią Lietuva leido įkurti savo teritorijoje sovietų karines bazes.","Vilnius ir dalis Vilniaus krašto buvo atgauti 1920 m. lapkričio 11 d. sudarius sutartį su Lenkija, pagal kurią Lietuva leido įkurti savo teritorijoje lenkų karines bazes.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 31}"
34,"Kokiais metais ""Žalgiris"" debiutavo Europos taurių laimėtojų turnyre?","Kauno ""Žalgiris"" Europos taurių laimėtojų turnyre debiutavo 1981 metais ir pasiekė ketvirtfinalį.","Kauno ""Žalgiris"" Europos taurių laimėtojų turnyre debiutavo 1983 metais ir pasiekė pusfinalį.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 35}"
35,Kokią vietą Klaipėda užima pagal gyventojų skaičių ir plotą Lietuvoje?,Klaipėda yra trečias pagal gyventojų skaičių ir plotą Lietuvos miestas.,Klaipėda yra antras pagal gyventojų skaičių ir plotą Lietuvos miestas.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 37}"
36,Kokioje Lietuvos dalyje ir geografinėje zonoje įsikūrusi Klaipėda?,"Klaipėda įsikūrusi Vakarų Lietuvoje, Pajūrio žemumoje, prie Kuršių marių ir Baltijos jūros santakos.","Klaipėda įsikūrusi Rytų Lietuvoje, Aukštaitijos kalvose, toli nuo Kuršių marių ir Baltijos jūros.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 38}"
37,"Kada Kauno ""Žalgiris"" pirmą kartą tapo Eurolygos čempionais?","Kauno ""Žalgiris"" pirmą kartą Eurolygos čempionais tapo 1999 metais, balandžio 22 dieną, finale nugalėję Bolonijos ""Kinder"" rezultatu 82:74.","Kauno ""Žalgiris"" pirmą kartą Eurolygos čempionais tapo 1998 metais, balandžio 21 dieną, finale nugalėję Bolonijos ""Kinder"" rezultatu 85:78.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 34}"
38,"Kada ""Žalgiris"" pristatė atnaujintą logotipą ir kokia buvo reakcija?","""Žalgiris"" atnaujintą logotipą pristatė 2023 metų rugsėjo 7 dieną. Naujasis ženklas susilaukė aštrios kritikos.","""Žalgiris"" atnaujintą logotipą pristatė 2023 metų gruodžio 7 dieną. Naujasis ženklas buvo puikiai priimtas visuomenės.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 36}"
39,Kada ir kokiomis aplinkybėmis Klaipėda buvo prijungta prie Lietuvos?,Klaipėda buvo prijungta prie Lietuvos 1923 m. po inscenizuoto sukilimo. Prieš tai miestas buvo atskirtas nuo Vokietijos pagal Versalio taikos sutartį po Pirmojo pasaulinio karo.,Klaipėda buvo prijungta prie Lietuvos 1925 m. po taikaus susitarimo. Prieš tai miestas buvo atskirtas nuo Vokietijos pagal Paryžiaus taikos sutartį po Antrojo pasaulinio karo.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 39}"
40,Koks senasis Klaipėdos pavadinimas ir ką jis reiškia?,"Senasis Klaipėdos pavadinimas yra Memelis. Tai vandenvardinis vietovardis, kilęs nuo Nemuno upės žemupio pavadinimo.","Senasis Klaipėdos pavadinimas yra Nemenčinė. Tai kalbinis vietovardis, kilęs nuo senovės genties pavadinimo.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 40}"
41,Kokie du svarbiausi renginiai kasmet vyksta Klaipėdoje?,Du žymiausi Klaipėdos renginiai yra Jūros šventė ir Pilies džiazo festivalis.,Du žymiausi Klaipėdos renginiai yra Kaziuko mugė ir Pilies džiazo festivalis.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 41}"
42,Kokiais metais Lietuvoje buvo panaikinta prezidento institucija?,"Prezidento institucija Lietuvoje buvo panaikinta 1940 metais, kai Lietuvą okupavo Sovietų Sąjunga.","Prezidento institucija Lietuvoje buvo panaikinta 1939 metais, kai Lietuvą okupavo nacių Vokietija.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 43}"
43,Kiek kartų iš eilės galima būti išrinktam Lietuvos prezidentu?,Lietuvos prezidentas gali būti renkamas daugiausiai dvi kadencijas iš eilės.,Lietuvos prezidentas gali būti renkamas daugiausiai tris kadencijas iš eilės.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 45}"
44,"Kada ir kur pirmą kartą buvo publikuota ""Tautiška giesmė""?","""Tautiška giesmė"" pirmą kartą buvo publikuota 1898 metų lapkričio-gruodžio mėnesiais literatūros, politikos ir mokslo dvimėnesiniame laikraštyje ""Varpas"".","""Tautiška giesmė"" pirmą kartą buvo publikuota 1900 metų sausio-vasario mėnesiais literatūros, politikos ir mokslo žurnale ""Aušra"".",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 46}"
45,Ką žymi šeši paminkliniai knechtai Klaipėdos Danės upės krantinėje?,"Šeši paminkliniai knechtai įprasmina svarbius Lietuvos jūreivių žygdarbius, tokius kaip 1989 m. trijų jachtų ""Lietuva"", ""Dailė"" ir ""Audra"" plaukimas per Atlantą ir 1992–1993 m. jachtos ""Lietuva"" kelionė aplink pasaulį.","Šeši paminkliniai knechtai įprasmina Lietuvos verslo laimėjimus, tokius kaip 1990 m. keturių jachtų ""Baltija"", ""Klevas"", ""Žara"" ir ""Banga"" plaukimas per Baltijos jūrą ir 1994–1995 m. jachtos ""Audra"" kelionė aplink Šiaurės ašigalį.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 42}"
46,"Kada ""Tautiška giesmė"" oficialiai tapo Lietuvos himnu?","""Tautiška giesmė"" oficialiai tapo Lietuvos himnu 1919 metais, nors buvo siūlymų keisti žodžius ir muziką 1917-1918 metais.","""Tautiška giesmė"" oficialiai tapo Lietuvos himnu 1921 metais, nors buvo siūlymų keisti žodžius ir muziką 1916-1917 metais.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 47}"
47,Kas buvo pirmasis Lietuvos prezidentas po Nepriklausomybės atkūrimo?,"Po Nepriklausomybės atkūrimo 1990 metais, pirmuoju Lietuvos prezidentu (tiesiogiai išrinktas po konstitucinio referendumo 1993 m.) tapo Algirdas Mykolas Brazauskas. Tačiau atkūrus Nepriklausomybę, Atkuriamojo Seimo pirmininku ir faktiniu pirmuoju Nepriklausomybę atkūrusios Lietuvos vadovu buvo išrinktas Vytautas Landsbergis.","Po Nepriklausomybės atkūrimo 1990 metais, pirmuoju Lietuvos prezidentu tapo Vytautas Landsbergis (tiesiogiai išrinktas po konstitucinio referendumo 1993 m.). Tačiau atkūrus Nepriklausomybę, Atkuriamojo Seimo pirmininku ir faktiniu pirmuoju Nepriklausomybę atkūrusios Lietuvos vadovu buvo išrinktas Algirdas Mykolas Brazauskas.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 44}"
48,Kada Lietuvos Didžioji Kunigaikštystė (LDK) buvo didžiausia Europos valstybė?,LDK buvo didžiausia Europos valstybė XV amžiuje.,LDK buvo didžiausia Europos valstybė XIV amžiuje.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 49}"
49,Kokiomis progomis privaloma giedoti arba groti Lietuvos himną?,"Lietuvos himnas privalo būti giedamas arba grojamas įvairiomis progomis, pavyzdžiui, Seimo sesijų pradžioje ir pabaigoje, iškilminguose susirinkimuose skirtus Lietuvos šventėms, sutinkant užsienio valstybių vadovus, atstovaujant Lietuvai užsienyje, nacionalinėse televizijos ir radijo laidose, ir keliat Lietuvos vėliavą.","Lietuvos himnas privalo būti giedamas arba grojamas tik tarptautinėse sporto varžybose ir privačiuose renginiuose, kai nekelia jokios oficialios vėliavos.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 48}"
