,question,correct_anwer,generated_answer,is_match,meta
13,Kad tika izveidota E-klase un kura skola bija pirmā testētāja?,"E-klasi izveidoja 2005. gadā uzņēmums DEAC. Pirmā skola, kas testēja E-klasi, bija Lielupes vidusskola.","E-klasi izveidoja 2006. gadā uzņēmums DEAC. Pirmā skola, kas testēja E-klasi, bija Liepājas vidusskola.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 13}"
14,Kur atrodas airBaltic galvenā bāze?,"airBaltic galvenā bāze atrodas starptautiskajā lidostā ""Rīga"". Papildus tam, airBaltic ir bāzes arī Viļņas lidostā (kopš 2004. gada) un Tallinas lidostā (kopš 2016. gada).","airBaltic galvenā bāze atrodas Tallinas lidostā. Papildus tam, airBaltic ir bāzes arī Viļņas lidostā un starptautiskajā lidostā ""Rīga"" kopš 2004. gada.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 16}"
15,Kas ir airBaltic izpilddirektors?,airBaltic izpilddirektors ir Martins Gauss.,airBaltic izpilddirektors ir Jānis Gauss.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 17}"
16,Kā E-klase nodrošina lietotāju datu drošību?,"E-klase izmanto vairākus drošības pasākumus, ieskaitot datu serveru izvietošanu DEAC datu centrā, ugunsmūrus, pretvīrusu programmatūru, regulāras datu rezerves kopijas un drošu datu pārraidi, līdzīgu internetbankām.","E-klase izmanto tikai standarta drošības pasākumus, piemēram, parastos ugunsmūrus un neierobežotas datu kopijas, bet datu serverus netur īpašā vietā.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 15}"
17,Kā airBaltic tiek raksturots tās biznesa modelis?,"airBaltic ir hibrīda lidsabiedrība, kas apvieno tradicionālo un zemo izmaksu lidsabiedrību biznesa modeļus.","airBaltic ir tradicionālā lidsabiedrība, kas balstās tikai uz pilna servisa biznesa modeli.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 18}"
18,Kādi ir E-klases galvenie mērķi un uzdevumi?,"E-klases mērķis ir uzlabot izglītības kvalitāti Latvijā, paātrinot informācijas apmaiņu starp skolām, skolēniem un vecākiem, atvieglojot datu apstrādi skolotājiem un iesaistot sabiedrību izglītības procesā.","E-klases mērķis ir uzlabot izglītības kvalitāti Igaunijā, palēninot informācijas apmaiņu starp skolām, skolēniem un vecākiem, apgrūtinot datu apstrādi skolotājiem un izslēdzot sabiedrību no izglītības procesa.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 14}"
19,"Cik autostāvvietas apsaimniekoja ""Rīgas satiksme"" 2020. gadā?","2020. gadā ""Rīgas satiksme"" apsaimniekoja 4860 autostāvvietas.","2020. gadā ""Rīgas satiksme"" apsaimniekoja 4680 autostāvvietas.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 21}"
20,Kad tika ieviests e-talons Rīgas sabiedriskajā transportā?,"E-talons Rīgas sabiedriskajā transportā tika ieviests, sākot ar 2009. gada 1. maiju.","E-talons Rīgas sabiedriskajā transportā tika ieviests, sākot ar 2008. gada 1. jūniju.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 22}"
21,Kurš tramvaja maršruts 2016. gadā bija vispopulārākais?,Vispopulārākais tramvaja maršruts 2016. gadā bija 6. tramvaja maršruts.,Vispopulārākais tramvaja maršruts 2016. gadā bija 3. tramvaja maršruts.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 23}"
22,Kāds ir airBaltic punktualitātes rādītājs?,"airBaltic tiek atzīta par vienu no punktuālākajām lidsabiedrībām pasaulē.  Vairāk kā 90% airBaltic lidojumu ierodas galamērķī ar ne vairāk kā 15 minūšu nokavēšanos, kas ļāva tai iegūt pirmo vietu pasaulē 2014., 2015. un 2017. gadā.","airBaltic lidojumi bieži tiek kavēti, un tikai aptuveni 60% no tiem ierodas galamērķī laikā, kas lika tai iegūt piekto vietu punktualitātes reitingā 2014. un 2015. gadā.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 19}"
23,"Kādus transporta veidus izmanto ""Rīgas satiksme"" pasažieru pārvadāšanai?","""Rīgas satiksme"" pasažieru pārvadājumiem izmanto autobusus, trolejbusus un tramvajus.","""Rīgas satiksme"" pasažieru pārvadājumiem izmanto tikai autobusus un velosipēdus.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 20}"
24,"Kāds bija ""Rīgas satiksmes"" darbinieku vidējais vecums 2012. gadā?","""Rīgas satiksmes"" darbinieku vidējais vecums 2012. gada sākumā bija 48 gadi.","""Rīgas satiksmes"" darbinieku vidējais vecums 2012. gada sākumā bija 58 gadi.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 24}"
25,Kādi ir galvenie koku veidi Rīgas mežos?,"Rīgas mežos galvenokārt aug priedes (88.1%), bet sastopami arī bērzi (6.6%) un melnalkšņi (2.8%).","Rīgas mežos galvenokārt aug bērzi (88.1%), bet sastopami arī priedes (6.6%) un melnalkšņi (2.8%).",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 26}"
26,Kurā gadā Rīgā notika Eirovīzijas dziesmu konkurss?,Eirovīzijas dziesmu konkurss Rīgā notika 2003. gadā.,Eirovīzijas dziesmu konkurss Rīgā notika 2001. gadā.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 30}"
27,Kura ir augstākā celtne Rīgā un kāda ir tās funkcija?,"Rīgas radio un televīzijas tornis Zaķusalā ir augstākā celtne Rīgā. Tā augstums ir 368,5 metri, un tā ir paredzēta radio un televīzijas signālu pārraidīšanai.","Rīgas televīzijas un sakaru tornis Ķengaragā ir augstākā celtne Rīgā. Tā augstums ir 200 metri, un tā ir paredzēta laika ziņu pārraidīšanai.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 25}"
28,Kāda ir Rīgas radio un televīzijas torņa nozīme Eiropas kontekstā?,"Rīgas radio un televīzijas tornis ir ne tikai augstākais tornis Baltijas valstīs, bet arī augstākais Eiropas Savienībā un 13. augstākais televīzijas tornis pasaulē.","Rīgas radio un televīzijas tornis ir ne tikai augstākais tornis Baltijas valstīs, bet arī zemākais Eiropas Savienībā un 13. augstākais televīzijas tornis pasaulē.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 29}"
29,Kad tika atklāts Dienvidu tilts?,"Dienvidu tilts tika atklāts satiksmei 2008. gadā, lai gan pilnībā pabeigts tikai 2013. gadā.","Dienvidu tilts tika atklāts satiksmei 2006. gadā, lai gan pilnībā pabeigts tikai 2010. gadā.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 28}"
30,Cik administratīvajās vienībās ir iedalīta Rīga?,"Rīga ir iedalīta sešās administratīvajās vienībās: Centra rajons, Kurzemes rajons, Zemgales priekšpilsēta, Ziemeļu rajons, Vidzemes priekšpilsēta un Latgales priekšpilsēta.","Rīga ir iedalīta piecās administratīvajās vienībās: Centra rajons, Kurzemes rajons, Zemgales priekšpilsēta, Ziemeļu rajons un Vidzemes priekšpilsēta.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 27}"
31,Kurš uzņēmums pārvalda Inbox.lv portālu?,Inbox.lv portālu pārvalda SIA Inbokss.,Inbox.lv portālu pārvalda SIA Inboxa.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 31}"
32,Cik lietotāju apmeklēja Inbox Games 2012. gada decembrī?,2012. gada decembrī Inbox Games apmeklēja vairāk nekā 350 000 lietotāju dienā.,2012. gada decembrī Inbox Games apmeklēja mazāk nekā 250 000 lietotāju dienā.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 33}"
33,Kāpēc daļa latviešu diasporas Sibīrijā Jāņus svin citā datumā nekā Latvijā?,"Daļa latviešu diasporas Sibīrijā, kas ir 19. gadsimta latviešu kolonistu pēcteči, Jāņus svin pēc vecā stila kalendāra — 6. un 7. jūlijā.","Daļa latviešu diasporas Sibīrijā, kas ir 20. gadsimta latviešu kolonistu pēcteči, Jāņus svin pēc jaunā stila kalendāra — 20. un 21. jūnijā.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 34}"
34,"Kāda ir viena no būtiskākajām Jāņu tradīcijām, un ko tā simbolizē?","Viena no būtiskākajām Jāņu tradīcijām ir vainagu pīšana. Sievietēm vainagi tiek pīti no puķēm, bet vīriešiem — no ozola lapām. Vainaga aplis simbolizē sauli.","Viena no būtiskākajām Jāņu tradīcijām ir ugunskura degšana. Sievietēm vainagi tiek pīti no ozola lapām, bet vīriešiem — no puķēm. Ugunskura liesmas simbolizē mēnesi.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 36}"
35,Kādā gadā Inbox.lv tika dibināts?,"Portāla darbība tika uzsākta 1998. gadā, to dibinot Nikam Ustinovam.  SIA ""Inbokss"", kas pārņēma portālu, tika reģistrēts 2001. gada 7. septembrī.","Portāla darbība tika uzsākta 1999. gadā, to dibinot Nikam Ustinovam. SIA ""Inbokss"", kas pārņēma portālu, tika reģistrēts 2002. gada 7. septembrī.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 32}"
36,Kas ir Zāļu diena un kā tā saistās ar Jāņiem?,"Zāļu diena ir diena pirms Jāņiem. Vēsturiski tā ir saistīta ar vasaras saulgriežiem, bet, tā kā valsts noteiktā Jāņu diena ir 24. jūnijā, kas ir dažas dienas vēlāk par īstajiem saulgriežiem, Zāļu dienas svinēšana dažreiz tiek nodalīta no saulgriežu svinēšanas.","Zāļu diena ir diena pēc Jāņiem. Vēsturiski tā ir saistīta ar ziemas saulgriežiem, un valsts noteiktā Jāņu diena ir 24. jūlijā, kas nesakrīt ar īstajiem saulgriežiem, tāpēc Zāļu dienas svinēšana ir visbiežāk vienota ar saulgriežu svinēšanu.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 35}"
37,Kurš bija pirmais OMON upuris Latvijā Barikāžu laikā?,"Pirmais OMON upuris Latvijā bija Roberts Mūrnieks, kurš gāja bojā 1991. gada 16. janvārī.","Pirmais OMON upuris Latvijā bija Juris Rubenis, kurš gāja bojā 1991. gada 17. janvārī.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 37}"
38,Kurā gadā Edgars Rinkēvičs absolvēja Jūrmalas 4. vidusskolu?,Edgars Rinkēvičs absolvēja Jūrmalas 4. vidusskolu 1991. gadā.,Edgars Rinkēvičs absolvēja Jūrmalas 4. vidusskolu 1995. gadā.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 41}"
39,Kad tika demontētas Vecrīgas barikādes?,Vecrīgas barikādes demontēja 1992. gada rudenī.,Vecrīgas barikādes demontēja 1990. gada pavasarī.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 40}"
40,Cik cilvēku piedalījās barikāžu aizsardzībā Latvijā?,"Aptuveni 50 tūkstoši cilvēku piedalījās barikāžu aizsardzībā, bet mītiņā piedalījās 15 tūkstoši.","Aptuveni 15 tūkstoši cilvēku piedalījās barikāžu aizsardzībā, bet mītiņā piedalījās 50 tūkstoši.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 38}"
41,Kāpēc PSRS Aizsardzības ministrs Dmitrijs Jazovs 1991. gada 7. janvārī izdeva pavēli sūtīt karaspēku uz Baltiju?,Oficiāli karaspēka nosūtīšanas iemesls bija ikgadējā iesaukšana PSRS bruņotajos spēkos.,Oficiāli karaspēka nosūtīšanas iemesls bija ikgadējā iesaukšana NATO bruņotajos spēkos.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 39}"
42,"Kura ir pirmā Latvijas politiskā partija, kuras biedrs bija Edgars Rinkēvičs?","Pirmā Latvijas politiskā partija, kuras biedrs bija Edgars Rinkēvičs, ir ""Latvijas Ceļš"".","Pirmā Latvijas politiskā partija, kuras biedrs bija Edgars Rinkēvičs, ir ""Jaunais Laiks"".",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 43}"
43,Kura dialekta pamatā ir latviešu literārā valoda?,Latviešu literārās valodas pamatā ir vidus dialekts.,Latviešu literārās valodas pamatā ir augšzemnieku dialekts.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 47}"
44,Cik cilvēku latviešu valoda ir dzimtā valoda?,"Latviešu valoda ir dzimtā valoda apmēram 1,5 miljoniem cilvēku.",Latviešu valoda ir dzimtā valoda apmēram 3 miljoniem cilvēku.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 44}"
45,Kādus amatus Aizsardzības ministrijā ieņēma Edgars Rinkēvičs?,"Edgars Rinkēvičs Aizsardzības ministrijā sāka strādāt kā Politikas departamenta vecākais referents (1995), pēc tam kļuva par departamenta direktoru (1996), valsts sekretāra vietnieku aizsardzības politikas jautājumos (1997) un visbeidzot par valsts sekretāru (1997).","Edgars Rinkēvičs Aizsardzības ministrijā sāka strādāt kā Politikas departamenta vecākais referents (1998), pēc tam kļuva par departamenta direktoru (1999), valsts sekretāra vietnieku aizsardzības politikas jautājumos (2000) un visbeidzot par valsts sekretāru (2001).",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 42}"
46,Kur atrodamas senākās rakstu liecības latviešu valodā?,"Senākie rakstu paraugi latviešu valodā, jau no 15. gadsimta, ir atrodami Jāņa ģildes alus nesēju biedrības grāmatās.","Senākie rakstu paraugi latviešu valodā, jau no 16. gadsimta, ir atrodami Pētera ģildes alus nesēju biedrības grāmatās.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 45}"
47,Kādi ir latviešu valodas pamatdialekti?,"Latviešu valodai ir trīs pamatdialekti: lībiskais, vidus, un augšzemnieku dialekts.","Latviešu valodai ir trīs pamatdialekti: lībiskais, zemgales, un lejaszemnieku dialekts.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 46}"
48,"Kad latviešu valodā tika pārtraukta ""mīkstā R"" lietošana?",Mīkstā R jeb Ŗ lietošana tika pārtraukta 1946. gadā.,Mīkstā R jeb Ŗ lietošana tika pārtraukta 1948. gadā.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 48}"
49,Kāds ir latviešu valodas statuss Latvijā?,Latviešu valoda ir vienīgā valsts valoda Latvijā.,Latviešu valoda ir viena no vairākām oficiālajām valodām Latvijā.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 49}"
50,Kuros gados Latvijas hokeja izlase ir piedalījusies Olimpiskajās spēlēs?,"Latvijas hokeja izlase ir piedalījusies sešās Olimpiskajās spēlēs: 1936., 2002., 2006., 2010., 2014. un 2022. gadā.","Latvijas hokeja izlase ir piedalījusies sešās Olimpiskajās spēlēs: 1928., 2002., 2006., 2010., 2014. un 2022. gadā.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 50}"
51,Kurā gadā Latvija pirmo reizi piedalījās Eiropas meistarsacīkstēs hokejā?,Latvijas hokeja izlase pirmo reizi Eiropas meistarsacīkstēs piedalījās 1932. gadā Berlīnē.,Latvijas hokeja izlase pirmo reizi Eiropas meistarsacīkstēs piedalījās 1928. gadā Prāgā.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 52}"
52,Kuru Latvijas hokeja izlases spēlētāju 2023. gada Pasaules čempionātā atzina par visa turnīra vērtīgāko spēlētāju?,Artūrs Šilovs tika atzīts par 2023. gada Pasaules čempionāta vērtīgāko spēlētāju.,Rihards Bukarts tika atzīts par 2023. gada Pasaules čempionāta vērtīgāko spēlētāju.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 54}"
53,Kāds ir Latvijas hokeja izlases labākais sasniegums Pasaules čempionātos?,Latvijas hokeja izlases labākais sasniegums Pasaules čempionātos ir 2023. gadā izcīnītā bronzas medaļa jeb 3. vieta.,Latvijas hokeja izlases labākais sasniegums Pasaules čempionātos ir 2023. gadā izcīnītā čempionu tituls jeb 1. vieta.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 51}"
54,Kāds bija Latvijas hokeja izlases rezultāts pirmajā Pasaules čempionātā?,Pirmajā Pasaules čempionātā 1933. gadā Prāgā Latvijas hokeja izlase ieguva 10. vietu.,Pirmajā Pasaules čempionātā 1933. gadā Prāgā Latvijas hokeja izlase ieguva 5. vietu.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 53}"
55,Kur Evika Siliņa ieguva savu juridisko izglītību?,"Evika Siliņa ieguva bakalaura grādu tiesību zinātnē un jurista kvalifikāciju Latvijas Universitātē (1993—1997). Papildus viņa ieguva sociālo zinātņu maģistra grādu tiesību zinātnē, starptautiskajās tiesībās un Eiropas tiesībās Rīgas Juridiskajā augstskolā.","Evika Siliņa ieguva bakalaura grādu tiesību zinātnē un jurista kvalifikāciju Rīgas Tehniskajā universitātē (1993—1997). Papildus viņa ieguva sociālo zinātņu maģistra grādu tiesību zinātnē, starptautiskajās tiesībās un Eiropas tiesībās Latvijas Universitātē.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 55}"
